Date,Actual,Predicted
2023-04-30,29268.806610380427,28365.18809393681
2023-05-01,28091.56841175142,28465.95549574639
2023-05-02,28680.537137243526,28225.209705463236
2023-05-03,29006.30863832058,28441.76163075098
2023-05-04,28847.710860752115,28544.792608520485
2023-05-05,29534.384816454673,29097.169545615783
2023-05-06,28904.623014383753,28880.853023936925
2023-05-07,28454.97843299562,28932.099797381343
2023-05-08,27694.273373481163,28640.57922529222
2023-05-09,27658.775397576468,28161.764139343177
2023-05-10,27621.755885263894,27945.832702435837
2023-05-11,27000.789109944577,27356.726065961546
2023-05-12,26804.990196555857,27148.500877101556
2023-05-13,26784.0781021551,26942.436404668613
2023-05-14,26930.638686443588,26995.313274078286
2023-05-15,27192.69338906632,27466.92700830526
2023-05-16,27036.65040689091,27233.876029007326
2023-05-17,27398.802684419134,27008.896950626586
2023-05-18,26832.20899792547,26820.72822327008
2023-05-19,26890.12890848465,26383.83133951353
2023-05-20,27129.585901022296,26595.443046171495
2023-05-21,26753.826203012584,26769.459501030055
2023-05-22,26851.277300962247,26981.55563574354
2023-05-23,27225.726622562303,27300.04598475565
2023-05-24,26334.818401966182,26994.393719477783
2023-05-25,26476.207000557602,26995.868323216473
2023-05-26,26719.291003809692,27070.79884647742
2023-05-27,26868.353500958816,27121.553271053064
2023-05-28,28085.646456435774,27760.64519892805
2023-05-29,27745.884800440483,27784.80108843561
2023-05-30,27702.3495679233,27631.866174160434
2023-05-31,27219.65816921458,27311.913065616372
2023-06-01,26819.97269242631,27476.882804330184
2023-06-02,27249.589812110888,27498.592495015204
2023-06-03,27075.128903394543,27533.07105485135
2023-06-04,27119.066394783014,27704.46176011587
2023-06-05,25760.097683474283,27647.63081332667
2023-06-06,27238.783231910827,27493.77227300492
2023-06-07,26345.998000652147,27414.06298245727
2023-06-08,26508.216802058687,27146.76207352635
2023-06-09,26480.37499541474,26949.991787132658
2023-06-10,25851.240186784642,26819.70878869496
2023-06-11,25940.16797148787,26671.96329330864
2023-06-12,25902.499988856474,26721.772180055254
2023-06-13,25918.728476769025,26646.350001922016
2023-06-14,25124.67575708288,26534.14472369332
2023-06-15,25576.39448114945,26505.90883808336
2023-06-16,26327.462908997386,26666.255236964025
2023-06-17,26510.675798176475,26779.529482610546
2023-06-18,26336.21289075024,27097.03828000251
2023-06-19,26851.02929437713,27758.894847251275
2023-06-20,28327.488279999805,28087.865172462683
2023-06-21,30027.296877261455,29608.943801755555
2023-06-22,29912.281338905657,29290.543098583188
2023-06-23,30695.468849568395,29868.38582042481
2023-06-24,30548.69543969011,29591.798720294184
2023-06-25,30480.261685902988,29783.42732550414
2023-06-26,30271.13089639856,29753.303362300947
2023-06-27,30688.16423116885,30613.1530932758
2023-06-28,30086.24608639918,30549.46560923315
2023-06-29,30445.351478757595,30455.516769189166
2023-06-30,30477.252072971252,30298.228072570248
2023-07-01,30590.078209711817,30128.90329306573
2023-07-02,30620.769510417682,30166.541221022537
2023-07-03,31156.439453648276,31243.16599252953
2023-07-04,30777.582069925797,31035.91132537216
2023-07-05,30514.16602379129,30172.109182609347
2023-07-06,29909.337757426474,30019.463415031125
2023-07-07,30342.26572153193,29639.3194543519
2023-07-08,30292.541076705733,29605.209915581887
2023-07-09,30171.23448794186,29519.19017973763
2023-07-10,30414.470670743944,30049.540593617705
2023-07-11,30620.951318991087,30101.059931869648
2023-07-12,30391.646588257605,30448.11058671685
2023-07-13,31476.048858118098,30981.55233855515
2023-07-14,30334.068346049622,30450.633994962056
2023-07-15,30295.806524502976,30010.436945077265
2023-07-16,30249.13294733209,29786.828389468516
2023-07-17,30145.88877384133,29580.983775123117
2023-07-18,29856.5626371553,29528.70107774701
2023-07-19,29913.923834274836,29384.64709773542
2023-07-20,29792.01555980875,29459.151303580147
2023-07-21,29908.74406656381,29188.261266889764
2023-07-22,29771.802828802636,29119.69900345955
2023-07-23,30084.53904010329,29283.593510280567
2023-07-24,29176.91599736207,29138.747152838307
2023-07-25,29227.390676579857,28807.376303026587
2023-07-26,29354.972622177876,28790.565376247767
2023-07-27,29210.689456765936,28275.247629557613
2023-07-28,29319.24605308317,28368.361008868924
2023-07-29,29356.91803313434,28416.409106231575
2023-07-30,29275.308487668408,28471.33927991845
2023-07-31,29230.111290867222,28418.039165183684
2023-08-01,29675.73239522698,28830.924954860027
2023-08-02,29151.959069347664,28813.78920071146
2023-08-03,29178.67959974513,28714.905027772977
2023-08-04,29074.0918490527,28687.446307190658
2023-08-05,29042.127000017495,28593.82851272496
2023-08-06,29041.855471578063,28437.705582154078
2023-08-07,29180.57822608499,28634.220218747992
2023-08-08,29765.492235453446,29443.262892453517
2023-08-09,29561.494132938264,29130.806204431843
2023-08-10,29429.59171682795,29031.39940587111
2023-08-11,29397.714811027763,28823.33133781611
2023-08-12,29415.964660872476,28828.29480070161
2023-08-13,29282.91424502423,28951.67545811762
2023-08-14,29408.443293489654,28943.119203171198
2023-08-15,29170.347792516364,28737.603857773076
2023-08-16,28701.779277867623,28720.622226364667
2023-08-17,26664.550800094927,27505.539936555353
2023-08-18,26049.556586315197,26601.895335097055
2023-08-19,26096.205105586207,26642.64765094878
2023-08-20,26189.58401720729,26504.178140387143
2023-08-21,26124.140592502812,26489.62138822915
2023-08-22,26031.6562145955,26025.557077349702
2023-08-23,26431.640591044714,25875.235587290925
2023-08-24,26162.37298859835,25945.63155600282
